COMP_CODE,COMP_CONM,COMP_NAME,COMP_RAT,COMP_CLAS,COMP_CLAS1,COMP_CLAS2,OLD_PRIC,NEW_PRIC,COMP_PRIC,CURR_JUN06,COMP_DESC,COMP_PRNT,JUN06
AETR00FR,AE,FREQUENCY TRANSDUCER,,FREQUENCY,,,5208.00,0.00,5208.00,4340.00,FREQUENCY,FREQUENCY TRANSDUCER,0.00
AETR00PF,AE,PF TRANSDUCER,,POWER FACTOR,,,6300.00,0.00,6300.00,5250.00,POWER FACTOR,PF TRANSDUCER,0.00
AETR00SU,AE,SUMMATION TRANSDUCER,,SUMMATION,,,3780.00,0.00,3780.00,3150.00,SUMMATION,SUMMATION TRANSDUCER,0.00
AETR00VA,AE,KVA TRANSDUCER,,KVA,,,6037.50,0.00,6037.50,5250.00,KVA,KVA TRANSDUCER,0.00
AETR00VO,AE,VOLTAGE TRANSDUCER,,VOLTAGE,,,5208.00,0.00,5208.00,4340.00,VOLTAGE,VOLTAGE TRANSDUCER,0.00
AETR00VR,AE,KVAR TRANSDUCER,,VAR,,,6300.00,0.00,6300.00,5250.00,VAR,KVAR TRANSDUCER,0.00
AETR00WA,AE,WATT TRANSDUCER,,WATT,,,6300.00,0.00,6300.00,5250.00,WATT,WATT TRANSDUCER,0.00
AEVA2102,AE,VA METER,"240 DEG. SCALE,144 X 144 mmi","110V,3PH,3W",,,3636.00,3030.00,3636.00,3030.00,"240D,144mmi,110V,3PH3W",KVA METER,0.00
AEVA2103,AE,VA METER,"240 DEG. SCALE,144 X 144 mmi","110V,3PH,4W",,,3636.00,3030.00,3636.00,3030.00,"240D,144mmi,110V,3PH4W",KVA METER,0.00
AEVA2105,AE,VA METER,"240 DEG. SCALE,144 X 144 mmi","440V,3PH,3W",,,3636.00,3030.00,3636.00,3030.00,"240D,144mmi,440V,3PH3W",KVA METER,0.00
AEVA2106,AE,VA METER,"240 DEG. SCALE,144 X 144 mmi","440V,3PH,4W",,,3636.00,3030.00,3636.00,3030.00,"240D,144mmi,440V,3PH4W",KVA METER,0.00
AEVA2902,AE,VA METER,"240 DEG. SCALE,96 X 96 mmi","110V,3PH,3W",,,3636.00,3030.00,3636.00,3030.00,"240D,96mmi,110V,3PH3W",KVA METER,0.00
AEVA2903,AE,VA METER,"240 DEG. SCALE,96 X 96 mmi","110V,3PH,4W",,,3636.00,3030.00,3636.00,3030.00,"240D,96mmi,110V,3PH4W",KVA METER,0.00
AEVA2905,AE,VA METER,"240 DEG. SCALE,96 X 96 mmi","440V,3PH,3W",,,3636.00,3030.00,3636.00,3030.00,"240D,96mmi,440V,3PH3W",KVA METER,0.00
AEVA2906,AE,VA METER,"240 DEG. SCALE,96 X 96 mmi","440V,3PH,4W",,,3636.00,3030.00,3636.00,3030.00,"240D,96mmi,440V,3PH4W",KVA METER,0.00
AEVA9102,AE,VA METER,"90 DEG. SCALE,144 X 144 mmi","110V,3PH,3W",SVA-144-3P-2E,,3240.00,2700.00,3240.00,2700.00,"90D,144mmi,110V,3PH3W",KVA METER,0.00
AEVA9103,AE,VA METER,"90 DEG. SCALE,144 X 144 mmi","110V,3PH,4W",SVA-144-3P-3E,,3230.00,3230.00,3230.00,3230.00,"90D,144mmi,110V,3PH4W",KVA METER,0.00
AEVA9105,AE,VA METER,"90 DEG. SCALE,144 X 144 mmi","440V,3PH,3W",SVA-144-3P-2E,,3240.00,2700.00,3240.00,2700.00,"90D,144mmi,440V,3PH3W",KVA METER,0.00
AEVA9106,AE,VA METER,"90 DEG. SCALE,144 X 144 mmi","440V,3PH,4W",SVA-144-3P-3E,,3876.00,3230.00,3876.00,3230.00,"90D,144mmi,440V,3PH4W",KVA METER,0.00
AEVA9902,AE,VA METER,"90 DEG. SCALE,96 X 96 mmi","110V,3PH,3W",SVA-96-3P-2E,,2928.00,2440.00,2928.00,2440.00,"90D,96mmi,110V,3PH3W",KVA METER,0.00
AEVA9903,AE,VA METER,"90 DEG. SCALE,96 X 96 mmi","110V,3PH,4W",SVA-96-3P-3E,,2928.00,2440.00,2928.00,2440.00,"90D,96mmi,110V,3PH4W",KVA METER,0.00
AEVA9905,AE,VA METER,"90 DEG. SCALE,96 X 96 mmi","440V,3PH,3W",SVA-96-3P-2E,,2928.00,2440.00,2928.00,2440.00,"90D,96mmi,440V,3PH3W",KVA METER,0.00
AEVA9906,AE,VA METER,"90 DEG. SCALE,96 X 96 mmi","440V,3PH,4W",SVA-96-3P-3E,,2928.00,2440.00,2928.00,2440.00,"90D,96mmi,440V,3PH4W",KVA METER,0.00
AEVADI01,AE,KVA METER,DIGITAL,"3PH3W,3PH4W BALANCED & UNBALANCED LOAD",COMPLETE WITH EXTERNAL TRANSDUCER,"1A OR 5A,110V OR 230V",7200.00,6000.00,7200.00,6000.00,"DIGTAL 3PH3W,3PH4W",KVA METER,0.00
AEVM21AL,AE,VOLTMETER,"240 DEG. SCALE,144x144 mmi","AC,LINEAR SCALE",,,1272.00,1060.00,1272.00,1060.00,"240 D,144mmiAC,LINEAR",VOLTMETER,0.00
AEVM21DL,AE,VOLTMETER,"240 DEG. SCALE,144x144 mmi","DC,LINEAR SCALE",,,1188.00,990.00,1188.00,990.00,"240 D,144mmiDC,LINEAR",VOLTMETER,0.00
AEVM27AL,AE,VOLTMETER,"240 DEG. SCALE,72x72 mmi","AC,LINEAR SCALE",,,1044.00,870.00,1044.00,870.00,"240 D,72mmi AC,LINEAR",VOLTMETER,0.00
AEVM27DL,AE,VOLTMETER,"240 DEG. SCALE,72x72 mmi","DC,LINEAR SCALE",,,948.00,790.00,948.00,790.00,"240 D,72mmi DC,LINEAR",VOLTMETER,0.00
AEVM29AL,AE,VOLTMETER,"240 DEG. SCALE,96x96 mmi","AC,LINEAR SCALE",,,1092.00,910.00,1092.00,910.00,"240 D,96mmi AC,LINEAR",VOLTMETER,0.00
AEVM29DI,AE,DIFFERENTIAL VOLTMETER,,240 DEG 96 MM SQ.,,,1452.00,1210.00,1452.00,1210.00,240 DEG 96 MM SQ.,DIFFERENTIAL VOLTMETER,0.00
AEVM29DL,AE,VOLTMETER,"240 DEG. SCALE,96x96 mmi","DC,LINEAR SCALE",,,1020.00,850.00,1020.00,850.00,"240 D,96mmi DC,LINEAR",VOLTMETER,0.00
AEVM91AL,AE,VOLTMETER,"90 DEG. SCALE,144x144 mmi","AC,LINEAR SCALE",,,636.00,480.00,636.00,530.00,"90 D,144mmiAC,LINEAR",VOLTMETER,0.00
AEVM91DL,AE,VOLTMETER,"90 DEG. SCALE,144x144 mmi","DC,LINEAR SCALE",,,1056.00,880.00,1056.00,880.00,"90 D,144mmiDC,LINEAR",VOLTMETER,0.00
AEVM91DS,AE,VOLTMETER,"90 DEG. SCALE,144x144 mmi",DOUBLE SCALE 500V AC,,,1056.00,880.00,1056.00,880.00,"90 DEG. SCALE,144 mmi,DOUBLE SCALE",DOUBLE VOLTMETER,0.00
AEVM97AL,AE,VOLTMETER,"90 DEG. SCALE,72x72 mmi","AC,LINEAR SCALE",,,402.00,325.00,402.00,335.00,"90 D,72mmi AC,LINEAR",VOLTMETER,0.00
AEVM97DL,AE,VOLTMETER,"90 DEG. SCALE,72x72 mmi","DC,LINEAR SCALE",,,660.00,550.00,660.00,550.00,"90 D,72mmi DC,LINEAR",VOLTMETER,0.00
AEVM99AL,AE,VOLTMETER,"90 DEG. SCALE,96x96 mmi","AC,LINEAR SCALE",,,432.00,550.00,432.00,360.00,"90 D,96mmi AC,LINEAR",VOLTMETER,0.00
AEVM99DI,AE,DIFFERENTIAL VOLTMETER,,90 DEG 96 MM SQ.,,,1056.00,750.00,1056.00,880.00,90 DEG 96 MM SQ.,DIFFERENTIAL VOLTMETER,0.00
AEVM99DL,AE,VOLTMETER,"90 DEG. SCALE,96x96 mmi","DC,LINEAR SCALE",,,660.00,550.00,660.00,550.00,"90 D,96mmi DC,LINEAR",VOLTMETER,0.00
AEVM99DS,AE,VOLTMETER,"90 DEG. SCALE,96x96 mmi",DOUBLE SCALE 500V AC,,,900.00,750.00,900.00,750.00,"90 DEG. SCALE,96x96 mmi,DOUBLE SCALE",DOUBLE VOLTMETER,0.00
AEVMD1DL,AE,VOLTMETER,"DIGITAL,200MV TO 1.999V","DC,LINEAR SCALE",BUILT IN RESISTANCE,,1560.00,1300.00,1560.00,1300.00,"DGTL,200MV-1.999V DC,LIN",VOLTMETER,0.00
AEVMD2DL,AE,VOLTMETER,"DIGITAL,1.999V TO 199.9V DC","DC,LINEAR SCALE",BUILT IN RESISTANCE,,1560.00,1300.00,1560.00,1300.00,"DGTL,1.999V-199.9V DC,LIN",VOLTMETER,0.00
AEVMD3AL,AE,VOLTMETER,"DIGITAL,20V TO 300V","AC,LINEAR SCALE",BUILT IN TRANSDUCER,,1690.00,1690.00,1690.00,1690.00,"DGTL,20V-300V AC,LIN",VOLTMETER,0.00
AEVMD3DL,AE,VOLTMETER,"DIGITAL,199.9V TO 600V DC","DC,LINEAR SCALE",BUILT IN RESISTANCE,,1560.00,1300.00,1560.00,1300.00,"DGTL,199.9-600V DC,LIN",VOLTMETER,0.00
AEVMD5AL,AE,VOLTMETER,"DIGITAL,500V","AC,LINEAR SCALE",BUILT IN TRANSDUCER,,2028.00,1690.00,2028.00,1690.00,"DGTL,500V AC,LINEAR",VOLTMETER,0.00
AEVMD6AL,AE,VOLTMETER,"DIGITAL,600V","AC,LINEAR SCALE",BUILT IN TRANSDUCER,,2028.00,1690.00,2028.00,1690.00,"DGTL,600V AC,LINEAR",VOLTMETER,0.00
AEVR2102,AE,VAR METER,"240 DEG. SCALE,144x144 mmi","110V,3PHASE,3W",,,4224.00,3520.00,4224.00,3520.00,"240D,144mmi,110V,3PH3W",KVAR METER,0.00
AEVR2103,AE,VAR METER,"240 DEG. SCALE,144x144 mmi","110V,3PHASE,4W",,,4224.00,3520.00,4224.00,3520.00,"240D,144mmi,110V,3PH4W",KVAR METER,0.00
AEVR2105,AE,VAR METER,"240 DEG.SCALE,144x144 mmi","440V,3PHASE,3W",,,4224.00,3520.00,4224.00,3520.00,"240D,144mmi,440V,3PH3W",KVAR METER,0.00
AEVR2106,AE,VAR METER,"240 DEG.SCALE,144x144 mmi","440V,3PHASE,4W",,,4224.00,3520.00,4224.00,3520.00,"240D,144mmi,440V,3PH4W",KVAR METER,0.00
AEVR2902,AE,VAR METER,"240 DEG. SCALE,96x96 mmi","110V,3PHASE,3W",,,4092.00,3410.00,4092.00,3410.00,"240D,96mmi,110V,3PH3W",KVAR METER,0.00
AEVR2903,AE,VAR METER,"240 DEG. SCALE,96x96 mmi","110V,3PHASE,4W",,,4092.00,3410.00,4092.00,3410.00,"240D,96mmi,110V,3PH4W",KVAR METER,0.00
AEVR2905,AE,VAR METER,"240 DEG. SCALE,96x96 mmi","440V,3PHASE,3W",,,4092.00,3410.00,4092.00,3410.00,"240D,96mmi,440V,3PH3W",KVAR METER,0.00
AEVR2906,AE,VAR METER,"240 DEG. SCALE,96x96 mmi","440V,3PHASE,4W",,,4092.00,3410.00,4092.00,3410.00,"240D,96mmi,440V,3PH4W",KVAR METER,0.00
AEVR9102,AE,VAR METER,"90 DEG. SCALE,144x144 mmi","110V,3PHASE,3W",SVR-144-3P-2E,,3240.00,2520.00,3240.00,2700.00,"90D,144mmi,110V,3PH3W",KVAR METER,0.00
AEVR9103,AE,VAR METER,"90 DEG. SCALE,144x144 mmi","110V,3PHASE,4W",SVR-144-3P-3E,,3672.00,3060.00,3672.00,3060.00,"90D,144mmi,110V,3PH4W",KVAR METER,0.00
AEVR9105,AE,VAR METER,"90 DEG. SCALE,144x144 mmi","440V,3PHASE,3W",SVR-144-3P-2E,,2520.00,2520.00,2520.00,2520.00,"90D,144mmi,440V,3PH3W",KVAR METER,0.00
AEVR9106,AE,VAR METER,"90 DEG. SCALE,144x144 mmi","440V,3PHASE,4W",SVR-144-3P-3E,,3672.00,3060.00,3672.00,3060.00,"90D,144mmi,440V,3PH4W",KVAR METER,0.00
AEVR9902,AE,VAR METER,"90 DEG. SCALE,96x96 mmi","110V,3PHASE,3W",SVR-96-3P-2E,,2928.00,2240.00,2928.00,2440.00,"90D,96mmi,110V,3PH3W",KVAR METER,0.00
AEVR9905,AE,VAR METER,"90 DEG. SCALE,96x96 mmi","440V,3PHASE,3W",,,2688.00,2240.00,2688.00,2240.00,"90D,96mmi,440V,3PH3W",KVAR METER,0.00
AEWM2101,AE,WATTMETER,"240 DEG. SCALE,144 X 144 mmi","110V,1PH",,,2520.00,2520.00,2520.00,990.00,"240D,144mmi,110V,1PH",WATTMETER,0.00
AEWM2102,AE,WATTMETER,"240 DEG. SCALE,144 X 144 mmi","110V,3PH,3W",,,3060.00,3060.00,3060.00,990.00,"240D,144mmi,110V,3PH3W",WATTMETER,0.00
